DOI,DID,yyyy,mm,dd,hh,min,timezone,xyear,LatDir,NSflag,LatD,LatM,LatS,LatDecimal,LongDir,EWflag,LongD,LongM,LongS,LongDecimal,altdepflag,altdep,Unit_altdep,sample type,Nuclide,Value type,Activity or MDA,Uncertainty_activity,Unit_activity,Nuclide,Value type,Activity or MDA,Uncertainty_activity,Unit_activity,sample_type2,name_river,river_code_MLT,Periods,Unit_Periods,Weight,Unit_Weight,Site_Number
10.34355/Fukushima.Pref.CEC.00014,1,2015,4,22,12,0,JST,2015.307534,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"3,950 ",47 ,Bq kg-1,134Cs,=,"1,061 ",25 ,Bq kg-1,river,Mizusakai,-,98,Day,96.76 ,g,1
10.34355/Fukushima.Pref.CEC.00014,2,2015,5,29,12,0,JST,2015.410046,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"4,998 ",95 ,Bq kg-1,134Cs,=,"1,312 ",53 ,Bq kg-1,river,Mizusakai,-,37,Day,8.16 ,g,1
10.34355/Fukushima.Pref.CEC.00014,3,2015,7,21,12,0,JST,2015.554795,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"3,333 ",41 ,Bq kg-1,134Cs,=,857 ,21 ,Bq kg-1,river,Mizusakai,-,53,Day,52.82 ,g,1
10.34355/Fukushima.Pref.CEC.00014,4,2015,9,3,12,0,JST,2015.672146,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"3,563 ",81 ,Bq kg-1,134Cs,=,985 ,46 ,Bq kg-1,river,Mizusakai,-,44,Day,8.02 ,g,1
10.34355/Fukushima.Pref.CEC.00014,5,2015,12,24,12,0,JST,2015.97968,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"2,333 ",46 ,Bq kg-1,134Cs,=,509 ,21 ,Bq kg-1,river,Mizusakai,-,63,Day,38.91 ,g,1
10.34355/Fukushima.Pref.CEC.00014,6,2016,1,21,12,0,JST,2016.054795,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"3,243 ",105 ,Bq kg-1,134Cs,=,706 ,53 ,Bq kg-1,river,Mizusakai,-,28,Day,1.75 ,g,1
10.34355/Fukushima.Pref.CEC.00014,7,2016,2,23,12,0,JST,2016.143607,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"3,083 ",66 ,Bq kg-1,134Cs,=,688 ,31 ,Bq kg-1,river,Mizusakai,-,33,Day,20.85 ,g,1
10.34355/Fukushima.Pref.CEC.00014,8,2016,4,15,12,0,JST,2016.288356,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"2,988 ",95 ,Bq kg-1,134Cs,=,647 ,48 ,Bq kg-1,river,Mizusakai,-,52,Day,10.26 ,g,1
10.34355/Fukushima.Pref.CEC.00014,9,2016,9,27,12,0,JST,2016.7379,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"2,238 ",75 ,Bq kg-1,134Cs,=,420 ,35 ,Bq kg-1,river,Mizusakai,-,165,Day,13.85 ,g,1
10.34355/Fukushima.Pref.CEC.00014,10,2016,12,21,12,0,JST,2016.971461,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"3,531 ",90 ,Bq kg-1,134Cs,=,563 ,40 ,Bq kg-1,river,Mizusakai,-,85,Day,14.23 ,g,1
10.34355/Fukushima.Pref.CEC.00014,11,2017,3,1,12,0,JST,2017.166667,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"1,956 ",103 ,Bq kg-1,134Cs,=,370 ,53 ,Bq kg-1,river,Mizusakai,-,70,Day,5.82 ,g,1
10.34355/Fukushima.Pref.CEC.00014,12,2015,4,22,12,0,JST,2015.307534,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"2,260 ",37 ,Bq kg-1,134Cs,=,621 ,20 ,Bq kg-1,river,Kuchibuto,W8202010130,97,Day,85.71 ,g,2
10.34355/Fukushima.Pref.CEC.00014,13,2015,5,29,12,0,JST,2015.410046,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"3,434 ",90 ,Bq kg-1,134Cs,=,939 ,52 ,Bq kg-1,river,Kuchibuto,W8202010130,37,Day,6.01 ,g,2
10.34355/Fukushima.Pref.CEC.00014,14,2015,7,21,12,0,JST,2015.554795,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"2,885 ",43 ,Bq kg-1,134Cs,=,739 ,22 ,Bq kg-1,river,Kuchibuto,W8202010130,53,Day,39.06 ,g,2
10.34355/Fukushima.Pref.CEC.00014,15,2015,9,3,12,0,JST,2015.672146,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"3,786 ",68 ,Bq kg-1,134Cs,=,913 ,34 ,Bq kg-1,river,Kuchibuto,W8202010130,44,Day,25.54 ,g,2
10.34355/Fukushima.Pref.CEC.00014,16,2015,10,22,12,0,JST,2015.807534,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"1,119 ",24 ,Bq kg-1,134Cs,=,262 ,11 ,Bq kg-1,river,Kuchibuto,W8202010130,49,Day,102.28 ,g,2
10.34355/Fukushima.Pref.CEC.00014,17,2015,12,24,12,0,JST,2015.97968,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"1,532 ",31 ,Bq kg-1,134Cs,=,341 ,14 ,Bq kg-1,river,Kuchibuto,W8202010130,63,Day,84.83 ,g,2
10.34355/Fukushima.Pref.CEC.00014,18,2016,1,21,12,0,JST,2016.054795,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,391 ,18 ,Bq kg-1,134Cs,=,85 ,9 ,Bq kg-1,river,Kuchibuto,W8202010130,28,Day,33.54 ,g,2
10.34355/Fukushima.Pref.CEC.00014,19,2016,2,17,12,0,JST,2016.127169,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,708 ,24 ,Bq kg-1,134Cs,=,190 ,13 ,Bq kg-1,river,Kuchibuto,W8202010130,27,Day,37.89 ,g,2
10.34355/Fukushima.Pref.CEC.00014,20,2016,4,15,12,0,JST,2016.288356,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,983 ,31 ,Bq kg-1,134Cs,=,173 ,14 ,Bq kg-1,river,Kuchibuto,W8202010130,58,Day,61.07 ,g,2
10.34355/Fukushima.Pref.CEC.00014,21,2016,9,27,12,0,JST,2016.7379,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,727 ,24 ,Bq kg-1,134Cs,=,117 ,10 ,Bq kg-1,river,Kuchibuto,W8202010130,165,Day,103.80 ,g,2
10.34355/Fukushima.Pref.CEC.00014,22,2016,12,21,12,0,JST,2016.971461,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,717 ,25 ,Bq kg-1,134Cs,=,117 ,11 ,Bq kg-1,river,Kuchibuto,W8202010130,85,Day,63.87 ,g,2
