DOI,DID,yyyy,mm,dd,hh,min,timezone,xyear,LatDir,NSflag,LatD,LatM,LatS,LatDecimal,LongDir,EWflag,LongD,LongM,LongS,LongDecimal,altdepflag,altdep,Unit_altdep,sample type,Nuclide,Value type,Activity or MDA,Uncertainty_activity,Unit_activity,Nuclide,Value type,Activity or MDA,Uncertainty_activity,Unit_activity,sample_type2,name_river,river_code_MLT,Correction_Periods,Unit_Periods,Weight,Unit_Weight,SSA,Unit_SSA,Median_D50,Unit_Median,Site_Number
10.34355/CRiED.U.Tsukuba.00020,1,2011,6,27,12,0,JST,2011.4879,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"48,521 ","1,452 ",Bq kg-1,134Cs,=,"45,398 ","1,608 ",Bq kg-1,river,Mizusakai,-,7,Day,0.419 ,g,0.3219 ,m2 g-1,36.2 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,2,2011,7,12,12,0,JST,2011.530137,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"38,478 ","1,245 ",Bq kg-1,134Cs,=,"31,341 ","1,295 ",Bq kg-1,river,Mizusakai,-,6,Day,0.219 ,g,0.5697 ,m2 g-1,22.9 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,3,2011,7,20,12,0,JST,2011.552055,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"9,279 ",557 ,Bq kg-1,134Cs,=,"8,278 ",621 ,Bq kg-1,river,Mizusakai,-,8,Day,0.203 ,g,0.3305 ,m2 g-1,45.0 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,4,2011,7,25,12,0,JST,2011.565753,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"24,172 ","1,060 ",Bq kg-1,134Cs,=,"22,241 ","1,184 ",Bq kg-1,river,Mizusakai,-,5,Day,0.167 ,g,0.2586 ,m2 g-1,43.8 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,5,2011,8,1,12,0,JST,2011.583333,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"55,369 ","1,112 ",Bq kg-1,134Cs,=,"45,335 ","1,436 ",Bq kg-1,river,Mizusakai,-,7,Day,1.934 ,g,0.3921 ,m2 g-1,23.8 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,6,2011,8,9,12,0,JST,2011.605251,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"25,720 ",619 ,Bq kg-1,134Cs,=,"22,395 ",622 ,Bq kg-1,river,Mizusakai,-,8,Day,3.009 ,g,0.3868 ,m2 g-1,27.1 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,7,2011,8,16,12,0,JST,2011.624429,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"33,892 ","1,336 ",Bq kg-1,134Cs,=,"27,422 ","1,365 ",Bq kg-1,river,Mizusakai,-,7,Day,0.633 ,g,0.3677 ,m2 g-1,39.1 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,8,2011,8,24,12,0,JST,2011.646347,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"34,246 ",645 ,Bq kg-1,134Cs,=,"29,619 ",820 ,Bq kg-1,river,Mizusakai,-,8,Day,2.802 ,g,0.3956 ,m2 g-1,28.6 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,9,2011,8,30,12,0,JST,2011.662785,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"11,485 ",280 ,Bq kg-1,134Cs,=,"10,033 ",370 ,Bq kg-1,river,Mizusakai,-,6,Day,0.360 ,g,0.3612 ,m2 g-1,45.2 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,10,2011,9,10,12,0,JST,2011.691324,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"27,461 ","1,041 ",Bq kg-1,134Cs,=,"24,596 ","1,285 ",Bq kg-1,river,Mizusakai,-,11,Day,1.710 ,g,0.4827 ,m2 g-1,26.7 ,É m,1
